timestamp,m_base,m_shoulder,m_elbow,m_wrist,m_wrist_lift,m_gripper,s_base,s_shoulder,s_elbow,s_wrist,s_wrist_lift,s_gripper
2025-05-31T17:52:46.387854,2020,805,3051,869,2120,1509,2012,950,3049,1009,2024,1942
2025-05-31T17:52:46.553483,2020,805,3051,869,2120,1509,2012,950,3049,1009,2024,1942
2025-05-31T17:52:46.714833,2020,805,3051,869,2120,1509,2012,950,3049,1009,2024,1942
2025-05-31T17:52:46.878774,2020,805,3051,869,2120,1509,2012,950,3049,1009,2024,1942
2025-05-31T17:52:47.045007,2020,805,3051,869,2120,1509,2012,950,3049,1009,2024,1942
2025-05-31T17:52:47.200790,2020,805,3051,869,2120,1509,2012,950,3049,1009,2024,1942
2025-05-31T17:52:47.356978,2013,805,3051,869,2120,1509,2005,950,3049,1009,2024,1942
2025-05-31T17:52:47.511710,2013,805,3051,869,2120,1509,2005,950,3049,1009,2024,1942
2025-05-31T17:52:47.667084,2013,805,3051,869,2120,1509,2005,950,3049,1009,2024,1942
2025-05-31T17:52:47.821740,2013,805,3051,869,2120,1509,2005,950,3049,1009,2024,1942
2025-05-31T17:52:47.974851,2017,805,3051,869,2120,1509,2009,950,3049,1009,2024,1942
2025-05-31T17:52:48.139022,2013,805,3051,869,2120,1509,2005,950,3049,1009,2024,1942
2025-05-31T17:52:48.303183,2013,807,3051,869,2120,1509,2005,950,3049,1009,2024,1942
2025-05-31T17:52:48.478640,2020,808,3051,869,2120,1509,2012,950,3049,1009,2024,1942
2025-05-31T17:52:48.648803,2020,809,3051,869,2120,1509,2012,950,3049,1009,2024,1942
2025-05-31T17:52:48.809752,2021,831,3052,869,2120,1509,2013,950,3049,1009,2024,1942
2025-05-31T17:52:48.973228,2018,934,3054,869,2120,1509,2010,950,3049,1009,2024,1942
2025-05-31T17:52:49.135621,2013,1004,3054,871,2120,1509,2005,994,3049,1009,2024,1942
2025-05-31T17:52:49.299878,2020,1007,3054,871,2120,1509,2012,997,3049,1009,2024,1942
2025-05-31T17:52:49.471135,2024,1007,3054,871,2120,1509,2016,997,3049,1009,2024,1942
2025-05-31T17:52:49.634390,2082,1013,3054,871,2120,1509,2071,1003,3049,1009,2024,1942
2025-05-31T17:52:49.803148,2193,1008,3054,871,2120,1509,2177,998,3049,1009,2024,1942
2025-05-31T17:52:49.961307,2310,1015,3054,871,2120,1509,2288,1005,3049,1009,2024,1942
2025-05-31T17:52:50.126360,2435,1016,3054,871,2120,1509,2408,1006,3049,1009,2024,1942
2025-05-31T17:52:50.288798,2546,1016,3054,871,2120,1509,2513,1006,3049,1009,2024,1942
2025-05-31T17:52:50.451936,2670,1017,3054,871,2120,1509,2632,1007,3049,1009,2024,1942
2025-05-31T17:52:50.627833,2778,1017,3054,871,2120,1509,2734,1007,3049,1009,2024,1942
2025-05-31T17:52:50.791529,2876,1017,3054,871,2120,1509,2828,1007,3049,1009,2024,1942
2025-05-31T17:52:50.955545,2966,1017,3054,871,2120,1509,2914,1007,3049,1009,2024,1942
2025-05-31T17:52:51.119140,3050,1017,3054,871,2120,1509,2994,1007,3049,1009,2024,1942
2025-05-31T17:52:51.287355,3106,1017,3054,871,2120,1509,3047,1007,3049,1009,2024,1942
2025-05-31T17:52:51.444600,3123,1017,3054,871,2120,1509,3063,1007,3049,1009,2024,1942
2025-05-31T17:52:51.612203,3124,1016,3054,871,2120,1509,3064,1006,3049,1009,2024,1942
2025-05-31T17:52:51.765759,3124,1007,3054,870,2120,1509,3064,997,3049,1009,2024,1942
2025-05-31T17:52:51.921146,3124,1007,3054,870,2120,1509,3064,997,3049,1009,2024,1942
2025-05-31T17:52:52.075894,3124,1007,3054,870,2120,1509,3064,997,3049,1009,2024,1942
2025-05-31T17:52:52.232860,3123,1007,3054,870,2120,1509,3063,997,3049,1009,2024,1942
2025-05-31T17:52:52.387833,3117,1007,3054,870,2120,1509,3057,997,3049,1009,2024,1942
2025-05-31T17:52:52.542520,3117,1011,3054,870,2120,1509,3057,1001,3049,1009,2024,1942
2025-05-31T17:52:52.700901,3114,1018,3053,870,2120,1509,3055,1008,3049,1009,2024,1942
2025-05-31T17:52:52.856896,3116,1019,3019,871,2122,1509,3057,1009,3049,1009,2026,1942
2025-05-31T17:52:53.030431,3114,1067,2952,872,2120,1509,3055,1057,3009,1009,2024,1942
2025-05-31T17:52:53.195513,3114,1181,2862,872,2120,1509,3055,1172,2914,1009,2024,1942
2025-05-31T17:52:53.352584,3114,1260,2764,872,2120,1509,3055,1251,2810,1009,2024,1942
2025-05-31T17:52:53.521497,3119,1356,2679,873,2120,1509,3059,1347,2720,1009,2024,1942
2025-05-31T17:52:53.674097,3118,1457,2597,873,2120,1509,3058,1449,2634,1009,2024,1942
2025-05-31T17:52:53.829333,3122,1549,2504,873,2120,1509,3062,1541,2536,1009,2024,1942
2025-05-31T17:52:54.003865,3124,1655,2422,874,2120,1509,3064,1648,2449,1009,2024,1942
2025-05-31T17:52:54.169458,3125,1766,2365,874,2121,1509,3065,1759,2389,1009,2025,1942
2025-05-31T17:52:54.335675,3126,1872,2305,874,2122,1509,3066,1866,2325,1009,2026,1942
2025-05-31T17:52:54.494233,3127,1969,2264,885,2124,1509,3067,1963,2282,1009,2028,1942
2025-05-31T17:52:54.660588,3142,2045,2248,965,2124,1506,3081,2040,2265,1009,2028,1938
2025-05-31T17:52:54.814121,3149,2076,2247,987,2124,1505,3088,2071,2264,1009,2028,1937
2025-05-31T17:52:54.973866,3148,2098,2247,953,2124,1505,3087,2093,2264,1009,2028,1937
2025-05-31T17:52:55.134886,3148,2119,2246,915,2124,1505,3087,2114,2263,1009,2028,1937
2025-05-31T17:52:55.289923,3148,2136,2226,905,2124,1505,3087,2131,2242,1009,2028,1937
2025-05-31T17:52:55.445820,3148,2174,2139,912,2124,1505,3087,2169,2150,1009,2028,1937
2025-05-31T17:52:55.606258,3148,2219,2082,914,2124,1505,3087,2215,2090,1009,2028,1937
2025-05-31T17:52:55.771757,3147,2263,2036,914,2124,1505,3086,2259,2041,1009,2028,1937
2025-05-31T17:52:55.935646,3147,2309,1996,914,2124,1505,3086,2305,1999,1009,2028,1937
2025-05-31T17:52:56.103717,3146,2354,1983,911,2124,1505,3085,2350,1985,1009,2028,1937
2025-05-31T17:52:56.270773,3148,2368,1983,910,2124,1505,3087,2364,1985,1009,2028,1937
2025-05-31T17:52:56.432836,3144,2375,1981,906,2124,1505,3083,2371,1983,1009,2028,1937
2025-05-31T17:52:56.593686,3142,2430,1968,910,2124,1505,3081,2427,1969,1009,2028,1937
2025-05-31T17:52:56.749164,3138,2525,1878,913,2124,1505,3077,2522,1874,1009,2028,1937
2025-05-31T17:52:56.904278,3138,2594,1830,914,2124,1505,3077,2592,1824,1009,2028,1937
2025-05-31T17:52:57.060368,3137,2620,1851,915,2124,1505,3077,2618,1846,1009,2028,1937
2025-05-31T17:52:57.212556,3133,2620,1937,914,2125,1505,3073,2618,1937,1009,2029,1937
2025-05-31T17:52:57.369244,3130,2605,2032,906,2125,1505,3070,2603,2037,1009,2029,1937
2025-05-31T17:52:57.537841,3124,2544,2147,905,2125,1505,3064,2541,2158,1009,2029,1937
2025-05-31T17:52:57.691893,3121,2496,2267,904,2125,1505,3061,2493,2285,1009,2029,1937
2025-05-31T17:52:57.853177,3120,2456,2348,904,2125,1505,3060,2453,2371,1009,2029,1937
2025-05-31T17:52:58.022817,3119,2400,2434,904,2125,1505,3059,2397,2462,1009,2029,1937
2025-05-31T17:52:58.186978,3119,2339,2521,904,2125,1505,3059,2335,2553,1009,2029,1937
2025-05-31T17:52:58.348077,3119,2310,2592,904,2125,1505,3059,2306,2628,1009,2029,1937
2025-05-31T17:52:58.521162,3119,2303,2640,904,2126,1505,3059,2299,2679,1009,2030,1937
2025-05-31T17:52:58.683990,3119,2313,2642,904,2126,1505,3059,2309,2681,1009,2030,1937
2025-05-31T17:52:58.837047,3124,2322,2641,905,2127,1505,3064,2318,2680,1009,2031,1937
2025-05-31T17:52:58.995816,3128,2385,2630,906,2127,1505,3068,2382,2669,1009,2031,1937
2025-05-31T17:52:59.162899,3119,2460,2518,913,2127,1505,3059,2457,2550,1009,2031,1937
2025-05-31T17:52:59.318662,3119,2530,2447,913,2127,1505,3059,2527,2475,1009,2031,1937
2025-05-31T17:52:59.487289,3118,2559,2390,913,2127,1505,3058,2556,2415,1009,2031,1937
2025-05-31T17:52:59.644079,3111,2569,2356,914,2127,1505,3052,2566,2379,1009,2031,1937
2025-05-31T17:52:59.809629,3108,2574,2332,914,2127,1505,3049,2571,2354,1009,2031,1937
2025-05-31T17:52:59.971468,3107,2575,2326,914,2127,1505,3048,2572,2347,1009,2031,1937
2025-05-31T17:53:00.144876,3107,2575,2332,914,2127,1505,3048,2572,2354,1009,2031,1937
2025-05-31T17:53:00.308456,3106,2575,2333,914,2127,1505,3047,2572,2355,1009,2031,1937
2025-05-31T17:53:00.466836,3106,2575,2333,914,2127,1505,3047,2572,2355,1009,2031,1937
2025-05-31T17:53:00.642751,3106,2576,2333,914,2121,1505,3047,2573,2355,1009,2025,1937
2025-05-31T17:53:00.805925,3106,2576,2333,914,2121,1505,3047,2573,2355,1009,2025,1937
2025-05-31T17:53:00.962152,3108,2586,2326,914,2120,1505,3049,2583,2347,1009,2024,1937
2025-05-31T17:53:01.122633,3108,2596,2324,914,2120,1505,3049,2594,2345,1009,2024,1937
2025-05-31T17:53:01.292335,3107,2596,2324,914,2120,1505,3048,2594,2345,1009,2024,1937
2025-05-31T17:53:01.463692,3107,2596,2324,914,2127,1505,3048,2594,2345,1009,2031,1937
2025-05-31T17:53:01.632891,3107,2596,2324,914,2121,1505,3048,2594,2345,1009,2025,1937
