timestamp,m_base,m_shoulder,m_elbow,m_wrist,m_wrist_lift,m_gripper,s_base,s_shoulder,s_elbow,s_wrist,s_wrist_lift,s_gripper
2025-05-31T16:33:41.304620,2036,804,3051,870,2122,1440,2027,950,3049,1009,2026,1864
2025-05-31T16:33:41.414067,2036,804,3051,870,2122,1440,2027,950,3049,1009,2026,1864
2025-05-31T16:33:41.523915,2034,804,3051,870,2122,1440,2025,950,3049,1009,2026,1864
2025-05-31T16:33:41.633470,2034,804,3051,870,2122,1440,2025,950,3049,1009,2026,1864
2025-05-31T16:33:41.741558,2034,804,3051,870,2122,1440,2025,950,3049,1009,2026,1864
2025-05-31T16:33:41.851847,2033,804,3051,870,2122,1440,2024,950,3049,1009,2026,1864
2025-05-31T16:33:41.967612,2036,804,3051,870,2122,1440,2027,950,3049,1009,2026,1864
2025-05-31T16:33:42.091129,2032,804,3051,870,2122,1440,2024,950,3049,1009,2026,1864
2025-05-31T16:33:42.204099,2032,804,3051,870,2122,1440,2024,950,3049,1009,2026,1864
2025-05-31T16:33:42.324510,2032,804,3051,870,2122,1440,2024,950,3049,1009,2026,1864
2025-05-31T16:33:42.440545,2032,804,3051,870,2122,1440,2024,950,3049,1009,2026,1864
2025-05-31T16:33:42.549281,2032,804,3051,870,2122,1440,2024,950,3049,1009,2026,1864
2025-05-31T16:33:42.656639,2032,804,3051,870,2122,1440,2024,950,3049,1009,2026,1864
2025-05-31T16:33:42.774185,2032,805,3051,870,2122,1440,2024,950,3049,1009,2026,1864
2025-05-31T16:33:42.899166,2032,805,3051,870,2122,1440,2024,950,3049,1009,2026,1864
2025-05-31T16:33:43.024035,2032,805,3051,870,2122,1440,2024,950,3049,1009,2026,1864
2025-05-31T16:33:43.138950,2031,805,3051,871,2122,1440,2023,950,3049,1009,2026,1864
2025-05-31T16:33:43.248142,2031,805,3051,875,2122,1440,2023,950,3049,1009,2026,1864
2025-05-31T16:33:43.369188,2030,805,3051,877,2122,1440,2022,950,3049,1009,2026,1864
2025-05-31T16:33:43.481673,2012,805,3051,877,2122,1440,2004,950,3049,1009,2026,1864
2025-05-31T16:33:43.590536,1965,805,3051,877,2122,1440,1960,950,3049,1009,2026,1864
2025-05-31T16:33:43.697256,1913,805,3051,876,2122,1440,1910,950,3049,1009,2026,1864
2025-05-31T16:33:43.806872,1842,805,3051,875,2122,1440,1842,950,3049,1009,2026,1864
2025-05-31T16:33:43.920840,1780,805,3051,873,2122,1440,1783,950,3049,1009,2026,1864
2025-05-31T16:33:44.023797,1755,805,3051,871,2122,1440,1760,950,3049,1009,2026,1864
2025-05-31T16:33:44.133372,1755,805,3051,870,2122,1440,1760,950,3049,1009,2026,1864
2025-05-31T16:33:44.243126,1756,805,3051,870,2122,1440,1761,950,3049,1009,2026,1864
2025-05-31T16:33:44.351456,1759,804,3051,870,2122,1440,1763,950,3049,1009,2026,1864
2025-05-31T16:33:44.459192,1800,804,3051,870,2122,1440,1802,950,3049,1009,2026,1864
